Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3
barbados,"Barbados’s legal framework guarantees freedom of assembly, which is upheld in practice. Several protests took place peacefully in 2022, including a demonstration in February to demand the reopening of schools after COVID-19-related lockdowns.",4,"Many nongovernmental organizations operate without restriction or surveillance in Barbados, primarily focusing on cultural issues, homelessness, environmentalism, and women’s rights.",4,"The right to form labor unions is respected, and unions are active and influential. However, critics have alleged that the BLP is seeking to sideline or co-opt organized labor bodies. Unions have argued that the Employment Rights Tribunal is weak; in September 2022, the government vowed to address the issue.",4
belarus,"The government severely restricts freedom of assembly. Protests require permission from local authorities, who often arbitrarily deny it. The 2021 amendment to the law on mass events imposes strict authorization requirements and impedes organizers’ ability to raise funds for protests.During the 2020 electoral period, hundreds of thousands of people participated in unprecedented prodemocracy protests. Major campaign rallies for Tsikhanouskaya were held across the country. Police and military forces only partially succeeded in blocking people from congregating before voting day on August 9. In the following weeks, the regime deployed military equipment and armed riot police who indiscriminately attacked and arrested people, killing many. Numerous instances of cruel treatment, beatings, and torture of protesters were recorded, with total impunity for the security forces involved.Under the criminal code, those who participate in an unauthorized mass event can face administrative fines or 15- to 30-day detention periods. The regime instrumentalized administrative detention against participants in the prodemocracy movement that began in 2020.Antiwar protests were held in at least 12 Belarusian cities following the Russian invasion of Ukraine in February 2022. More than 800 people were arrested during the protests; most of those arrested were held for 15 days, with many being physically abused by security forces while detained.",0,"Freedom of association is severely restricted. In January 2022, criminal-code amendments recriminalized participation in unregistered or dissolved organizations; those accused of participating in such organizations face steep fines and up to two years in prison.Prior to the 2020 prodemocracy movement, few human rights groups managed to operate due to resource shortages and pressure from the authorities, and staff and supporters risked prosecution and fines for their activism.NGOs and public associations, including prominent organizations like the Belarusian Association of Journalists, the Belarusian Helsinki Committee, and the Belarusian PEN Center, have been ordered to dissolve in recent years. According to Lawtrend, 757 NGOs were in forced-dissolution processes or were removed from an official register between 2021 and the end of 2022, while 416 had decided to self-liquidate. The government actively uses antiextremism legislation against independent organizations and individuals to restrict public outreach and suppress dissent. Human rights activists who remained in the country following the 2020 prodemocracy protests have faced harassment and threats from security forces. During 2022, human rights activist Nasta Loika was repeatedly detained on a variety of spurious charges, including “extremism”; in December, Loika was further charged with two criminal offenses, including “violating public order.” Loika remained in pretrial detention at year’s end.",0,"Independent labor unions face harassment, and their leaders are frequently fired and prosecuted for engaging in peaceful protests. No independent unions have been registered since 1999, when Lukashenka issued a decree setting extremely restrictive registration requirements.Independent unions were prominent in the prodemocracy movement in 2020, striking to protest the fraudulent presidential election and police violence toward peaceful demonstrators. The state increasingly targeted and pressured workers to prevent them from going on strike. Union leaders and rank-and-file members were arrested, fined, dismissed from their posts, sent to psychiatric institutions, and forced into exile. In 2021, security forces arrested at least 11 people, accusing them of involvement in an independent labor movement. The arrested workers faced charges of treason and conspiracy to seize power, with a maximum punishment of 15 years in prison. According to the Belarusian Independent Trade Union, approximately 40 trade union activists were imprisoned as of December 2022.",0
belgium,"Freedom of assembly is protected by law and generally respected in practice.In January 2022, large protests against COVID-19-related restrictions in Brussels saw police use tear gas and water cannons to disperse protesters who were vandalizing buildings, setting fires, and throwing objects at police. Approximately 70 people were arrested, and 12 demonstrators and 3 police officers were injured. Other large protests held during the year took place without incident.",4,"Freedom of association is guaranteed by the constitution, and nongovernmental organizations (NGOs) operate without undue restrictions.",4,Workers at companies that employ more than 50 people have the right to organize and join unions and to bargain collectively. Employers found guilty of firing workers because of union activities are required to reinstate the workers or pay an indemnity.,4
belize,"Freedom of assembly is constitutionally protected, and the government generally respects this right.",4,Nongovernmental organizations (NGOs) are generally free from government interference.,4,"Unions are free to form and operate, and employers have been penalized for violating union rights under the labor code. There are some restrictions on the right to strike, and while labor unions are active and politically influential, their ability to protect workers’ rights is limited in practice.",3
benin,"Freedom of assembly has traditionally been respected; permit and registration requirements for demonstrations are not always enforced. A COVID-19-related ban on gatherings of more than 50 people, which authorities had sometimes used to prevent political opponents from organizing meetings and rallies, was lifted in March 2022. Security forces violently dispersed opposition protests before the election in 2021 by firing tear gas and live ammunition into the air, resulting in at least five civilian deaths.",2,"Nongovernmental organizations (NGOs), including human rights groups, generally operate freely, but individual activists have been arrested in increasing numbers. Large numbers of political figures and activists were arrested leading up to and after the 2021 presidential election; several of those arrested at that time were released in 2022. New regulations included in a 2021 draft law would require civil society organizations to renew their registration and pay a significant fee, which may limit small NGOs’ ability to operate and enable the authorities to withdraw the registration of organizations that criticize the government. Beninese NGOs can no longer bring cases to the AfCHPR after Benin withdrew from a relevant protocol in 2020.",3,"Workers, except certain civil servants and public employees, have the right to form and join unions, and to bargain collectively, with some restrictions. Public employees in the defense, health, justice, and security sectors are barred from striking; workers in other sectors may strike for a maximum of 10 days per year.The National Assembly voted to ban workers in the hydrocarbon sector and at the port and airport in Cotonou from striking in October 2022, following a September strike by air traffic controllers.",3
bhutan,"The constitution guarantees freedom of assembly, but this right is limited by government-imposed restrictions. Public gatherings require government permission, which is sometimes denied.",2,"Nongovernmental organizations (NGOs) that work on issues related to ethnic Nepalis are not allowed to operate, but other local and international NGOs work on a wide range of issues. Under the 2007 Civil Society Organization Act, all new NGOs must register with the government. Registration is granted to NGOs that are determined by the government to be “not harmful to the peace and unity of the country.”",2,"The constitution nominally guarantees the right of workers to form unions, but the right to strike is not legally protected. Workers may bargain collectively, and antiunion discrimination is prohibited.",1
bolivia,"Bolivian law protects the right to peaceful assembly. However, many past protests have been marred by clashes between demonstrators and police, as well as physical confrontations between protesters and counterprotesters.Widespread protests during the 2019 elections were characterized by high levels of violence among protesters, counterprotesters, and security forces. A report issued in August 2021 by the Interdisciplinary Group of Experts (GIEI), commissioned through an agreement between the IACHR and the Bolivian government, found that during the protests that led to Morales’s resignation, his administration facilitated the transport of its supporters and provided them with materials and weapons to use against the opposition, causing grave human rights violations. The IACHR and the UN High Commissioner for Human Rights (OHCHR) further investigated police use of excessive force during the 2019 postelectoral unrest, reporting that the police forces had committed serious human rights violations.Large protests against the Arce government’s decision to delay the national census until 2024 were held in October and November 2022 in the Santa Cruz region, led by opposition leader Luis Camacho. The protests featured occasional violent clashes between police and protesters, but were called off when opposition groups and the Arce administration reached a consensus on a new census date. Violent protests in Santa Cruz resumed in December, following Camacho’s arrest on charges of terrorism for his role in the 2019 protests against Morales.Other protests during the year included demonstrations by coca growers from Yungas, who accused the government of attempting to weaken their organization in favor of coca growers from the Chapare region, who are allied with the ruling party. These protests were met with high levels of repression by security forces, and according to the OHCHR, demonstrators were subjected to violence and “excessive use of force” by the police.",3,"Many nongovernmental organizations (NGOs) operate but are subject to some legal restrictions. In 2016, the TCP dismissed a petition arguing that two statutes in the country’s NGO laws gave the government license to dissolve NGOs. Government officials from all political affiliations have at times smeared rights groups as political conspirators.",3,"Labor and peasant unions are an active force wielding significant political influence.The country’s official labor code is inconsistent with Bolivian law; for example, it prohibits public sector unions, yet many public sector workers are able to legally unionize. A National Labor Court hears cases of antiunion discrimination, but tends to hand down verdicts slowly, and penalties for antiunion discrimination are not consistently applied.",3
bosnia-and-herzegovina,"Freedom of assembly is generally respected in BiH, and peaceful protests are common. However, demonstrators sometimes encounter administrative obstacles or police violence, and organizers can become targets of police or political harassment. In June 2022, Sarajevo successfully held a pride parade for the fourth year in a row, unmarred by violence or harassment of participants. A small counterdemonstration by religious conservatives was kept far away from the main proceedings by local police.",3,"The nongovernmental organization (NGO) sector in BiH remains robust but is sometimes exposed to government pressure and interference, with conditions more difficult in the RS.",2,"Labor unions operate freely in the whole of BiH, although workers often have limited bargaining power in practice. The right to strike is legally protected, but labor laws in the Federation pose significant barriers to the exercise of this right. Legal protections against antiunion action by employers are weakly enforced. The leading political blocs in the country exercise significant control over unions in their respective strongholds.",2
botswana,"Freedom of assembly is constitutionally guaranteed and largely upheld in practice. However, the Public Order Act requires citizens to seek police permission to hold demonstrations. The constitutionality of this clause has been questioned in the past, and police have sometimes denied requests for unclear reasons. In April 2022, the Women in Politics movement reported that it had been refused permission by the office of the presidency to march to the office’s grounds and present a petition expressing concern about gender-based violence.",4,"Nongovernmental organizations (NGOs), including human rights groups, generally operate without restriction.",4,"The right to form a union is respected, but the Trade Dispute Act places restrictions on who can strike. As a result, the government declares many strikes illegal, putting employees’ jobs at risk. The law does not always protect workers from antiunion discrimination by employers and other unfair employment practices in the workplace. In December 2022, Botswana committed itself to upkeeping an effective system of labor inspections by ratifying two International Labor Organization (ILO) labor inspection conventions.In May 2022 President Masisi reiterated an unfulfilled promise from 2018 to revive the dormant Public Service Bargaining Council (PSBC), but had failed to do so by year’s end.",2
brazil,"While freedom of assembly is generally respected, police or other security agents sometimes use excessive force against demonstrations.Pro- and anti-Bolsonaro protests were held nationwide on September 7, 2022, the country’s independence day. While pro-Bolsonaro rallies held in 2021 were marred by clashes with authorities, events in 2022 were largely peaceful.",3,"NGOs operate freely in a variety of fields. However, activists working on land rights and environmental protection issues have faced harassment, threats, and violence in recent years, along with verbal hostility from Bolsonaro and other administration officials. In September 2022, Global Witness called Brazil the world’s most dangerous country for environmental activists in the last decade, noting the deaths of 342 activists from 2012 to 2021. More than 85 percent of the killings happened in the Amazon.In June 2022, British journalist Dominic “Dom” Phillips and activist Bruno Araújo Pereira, who was documenting the exploitation of the Amazon rainforest, went missing in Amazonas State; their bodies were discovered that month, when a fisherman confessed to killing them and directed authorities to their remains. In late July, prosecutors charged the fisherman and his brother along with a third man. Another individual suspected of involvement was bailed in October.",3,"Industrial labor unions are well organized, and although they are politically connected, Brazilian unions tend to be freer from political party control than their counterparts in other Latin American countries. However, controversial labor reforms enacted in 2017 diminished the strength and role of unions in collective bargaining with businesses.",3
brunei,"Long-standing state-of-emergency laws restrict freedom of assembly. No more than 10 people can assemble for any purpose without a permit, and these laws are frequently enforced.",1,"Most nongovernmental organizations (NGOs) are professional or business groups, although some work on issues related to social welfare. All groups must register, registration can be refused for any reason, and registered groups can be suspended.",1,"The law guarantees the right to form and join a union, but the agreement that had permitted Brunei’s only formerly active union, the Brunei Oilfield Workers Union, is expired. Strikes are illegal, and collective bargaining is not recognized.",1
bulgaria,The authorities generally respect constitutional guarantees of freedom of assembly.,4,"NGOs operate freely and have a degree of influence, though they experience funding shortages, often rely on foreign donors, and sometimes face hostility from politicians and interest groups. In October 2022, the far-right Russophile political party Revival filed a draft law requiring all media and private persons receiving foreign funding of 1,000 lev or more to register as “foreign agents.” In a way reminiscent of the law introduced in Russia in 2012, it aims to ban “foreign agents” from offering educational activities, working with the government, and engaging in other activity. The bill has not drawn support from other parties in parliament.",4,"Workers have the right to join trade unions, which are generally able to operate, but some public employees cannot legally strike. Collective bargaining is legal, and collective contracts are listed in a specialized public registry. While trade unions partner with the government and the business community to discuss public budgets and other issues like retirement age, pension reforms, and health care reforms, their influence is weak.",3
burkina-faso,"The transitional charter relies on the 1991 constitution as a legal foundation; the 1991 constitution does provide for the freedom of assembly. Demonstrations in support of the ruling junta in 2022 have appeared to occur organically and comprise at most a few hundred individuals in any mobilization.During the chaotic days of Captain Traoré’s coup from late September 2022 to early October, demonstrators in support of the coup vandalized, looted, and set fire to buildings housing French government offices. Junta leaders had claimed France was harboring Lieutenant Colonel Damiba at a military base during this period.",2,"While many nongovernmental organizations (NGOs) operate openly and freely, human rights groups have reported abuses by security forces in the past. NGOs face harassment in carrying out their work and NGO leaders argue that some legal provisions, including vaguely worded terrorism laws, can be misused to silence human rights defenders.The operating space for NGOs and human rights organizations became further constrained in 2022 due to growing violence and the return of military rule. Towns, displacement camps, and large swathes of territory are routinely cut off from state authorities. Humanitarian access is limited particularly in northern Burkina Faso where armed conflict is at its worst.",2,"The two military coups in 2022 left the basic structure of the 1991 constitution in place, which does provide for the right to strike and to form trade unions. However, the transitional charter following the September coup clearly places superseding authority in the executive to intercede in organized labor activity. In the past, unions frequently and freely engaged in strikes and collective bargaining and coordinated with civil society to organize demonstrations on social issues. However, the government has used legal means to suppress union activity, including the denial of permits for planned demonstrations.",3
burundi,"Opposition or antigovernment meetings and rallies are usually prevented or dispersed, and participants face harassment or arrest. Many people who participated in the 2015 protests against late president Nkurunziza fled Burundi amid a subsequent crackdown. In 2021, the UN CoI noted that the strictest restrictions on assembly were effectively loosened after the 2020 elections, as the CNL was perceived as a less acute threat to the CNDD-FDD.",0,"NGOs in Burundi face restrictive registration laws and persecution for activity seen as hostile to the government. Human rights advocates can face arrest and imprisonment. A number of human rights and other groups perceived as antigovernment were banned during the 2018 referendum and the 2020 elections, and many of their members have fled the country. A 2021 Human Rights Watch (HRW) report noted that NGO workers avoided open criticism of the government.The government reversed its ban on anticorruption NGO PARCEM (‎Words and Actions for the Awakening of Consciences and the Evolution of Mentalities‎) in 2021, but authorities continued to impede and monitor its work through 2022.",0,"The constitution provides protections for organized labor, and the labor code guarantees the right to strike. However, it is unlikely that union members would feel free to exercise legally guaranteed collective bargaining rights in the current political climate.",1
cabo-verde,Freedom of assembly is legally guaranteed and observed in practice.,4,"Nongovernmental organizations (NGOs) operate freely in the country, focusing on a variety of social, economic, environmental, and cultural issues. Both international and local organizations are able to monitor prison conditions and other human rights indicators without government interference. Under the new statute for the Court of Accounts that was adopted in 2022, the auditing body will monitor the finances of NGOs that receive government funding.",4,"The constitution protects the right to unionize, and workers may form and join unions in practice. However, the government restricts the right to strike in broadly defined essential industries, and formal collective bargaining is reportedly uncommon in the private sector.",3
