Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3
azerbaijan,"Neither the president nor members of parliament are freely or fairly elected, and the parliament is unable to serve as a meaningful check on the powerful presidency. Lawmakers and lower-level elected officials essentially carry out the instructions of the ruling party.",0,"Corruption is pervasive. In the absence of a free press and independent judiciary, officials are held accountable for corrupt behavior only when it suits the needs of a more powerful or well-connected figure. In 2022, multiple high-ranking officials were arrested on corruption charges in the Azerbaijani exclave of Nakhchivan. Investigative reports published by foreign media in recent years have revealed evidence that the Aliyev family has used their positions to amass large private fortunes. The resources were reportedly used in part to improperly influence the Parliamentary Assembly of the Council of Europe in order to minimize criticism of electoral conduct and alleged rights abuses. In 2021, the Pandora Papers—an investigation by the International Consortium of Investigative Journalists (ICIJ)—revealed that a network of offshore companies linked to Aliyev’s family had traded around £400 million ($522.1 million) in property in the United Kingdom since 2006.In June 2022, independent news outlet Abzas Media released a report showing that businesses connected to high-ranking officials—including companies linked to Aliyev’s wife and daughters—have been awarded government contracts to develop agricultural land on the territories Azerbaijan gained during the 2020 Nagorno-Karabakh conflict.",0,"Government operations are opaque. Although public officials are nominally required to submit financial disclosure reports, procedures and compliance remain unclear, and the reports are not publicly accessible. There are legal guarantees for citizens’ access to information, but also broad exceptions to this right, and authorities at all levels systematically refuse to respond to information requests.",0
bahamas,Freely elected officials are generally unhindered in determining policy.,4,"Anticorruption mechanisms are relatively weak. There is no agency specifically empowered to handle allegations of government corruption. Rates of reporting corruption are low, as whistleblowers fear retaliation. The PLP vowed to establish an independent anticorruption body and an ombudsman after taking power but did not do so by the end of 2022.In June 2022, FNM parliamentarian Adrian Gibson was charged with abuse of power while he served as chairman of the WSC. Gibson had stepped down as chairman in 2021 after facing allegations of misconduct. His trial is expected to begin in 2023.",3,"Government procurement processes lack transparency, and political parties and campaigns are not required to disclose their finances. Legislators and other high-ranking public officials must disclose their income and assets annually under the Public Disclosure Act but often fail to submit the required information on time, without penalty.The Fiscal Responsibility Act (FRA) of 2019 aims to improve transparency of public-sector spending. The FRA created an independent oversight and enforcement body, the Fiscal Responsibility Council. The Public Procurement Act (PPA), which is meant to ensure transparency in government contracts, took effect in 2021. In October 2022, Prime Minister Davis tabled a new bill to replace the PPA, calling it “deficient.”The Bahamian government faced criticism over the collapse of FTX, a major cryptocurrency exchange that filed for bankruptcy in the United States in November 2022. FTX collapsed after a press report suggested that chief executive Sam Bankman-Fried used FTX’s cryptocurrency as collateral in other loans, prompting customers to withdraw from the exchange. In early November, the Securities Commission of The Bahamas (SCB) called on the national police to investigate FTX over concerns that it was mismanaging assets in a manner that amounted to a crime. In December, the SCB disclosed that it had seized FTX assets worth $3.5 billion in November and said it would return those assets to creditors and customers. The firm’s lawyers accused Bahamian regulators of colluding with Bankman-Fried to impact bankruptcy proceedings. The government in Nassau, meanwhile, vehemently objected to criticism of its conduct regarding FTX.",3
bahrain,"There are no elected officials with executive authority. The National Assembly may propose legislation, but the government drafts and submits the bills for legislative consideration. As major opposition groups are absent from the National Assembly, the body has become silent on politically sensitive topics, though it does feature debate on economic reforms, austerity measures, subsidy reforms, and public services. Bahrain is fiscally and economically dependent on Saudi Arabia and the United Arab Emirates, which gives their governments significant influence over its foreign policy.",0,"There are some laws in place to combat corruption, but enforcement is weak, and high-ranking officials or members of the ruling family who are suspected of corruption are rarely punished. The generally pliant parliament does not check malfeasance effectively, and the media are not sufficiently free to independently air allegations of corruption against powerful figures. Civil society anticorruption efforts are also restricted; activists who highlight such problems have been prohibited from traveling or otherwise harassed.In January 2022, a court sentenced a civil servant to seven years in prison after convicting him of embezzling fees for the renewal of expatriates’ residency permits; another defendant in the case was acquitted.",2,"Parliamentary proceedings are public, and the parliament is entitled to scrutinize the government budget, but in practice the executive issues orders and laws without providing insight or allowing meaningful public consultation. The government does not publish regular and timely income or expenditure data. No access-to-information law has been adopted, and officials are not obliged to disclose their assets or income. ",0
bangladesh,"Policy is set by the ruling AL, and weaknesses in the country’s institutions have reduced checks on its processes and decision-making. The dearth of opposition representation in the National Parliament significantly reduces its ability to scrutinize government policies, budgets, and proposed legislation. The incumbent government’s legitimacy was also undermined by the conduct of the 2018 election, which was marred by violence, intimidation, and allegations of fraud.",1,"Corruption is widespread. Under the AL, anticorruption efforts have been weakened by politicized enforcement and subversion of the judicial process. The Anti-Corruption Commission is ineffective and subject to overt political interference. The government continues to bring or pursue politicized corruption cases against BNP leaders. Throughout the COVID-19 pandemic, AL politicians and government officials were accused of corruption during relief efforts. Media outlets and civil society face restrictions and are less able to expose government corruption.",1,"Endemic corruption and criminality, weak rule of law, limited bureaucratic transparency, and political polarization have long undermined government accountability. The 2009 Right to Information Act (RIA) mandates public access to all information held by public bodies and overrides secrecy legislation. Although it has been unevenly implemented, journalists and civil society activists have had some success in using it to obtain information from local governing authorities.",2
barbados,"The prime minister and Parliament are largely unimpeded in their ability to craft and implement policy. In 2021, Barbados became a republic. Barbados’s first-past-the-post electoral system meant that a 69-percent vote for the BLP in January 2022 translated to a 100-percent share of the lower house. There is no constitutional mechanism to select a leader of the opposition in such cases, which weakens scrutiny of the government.",4,"Acts of corruption occur but with less frequency than in the rest of the region. Barbados’s government has failed to prosecute senior officials. Potential whistleblowers fear costly defamation suits. A Prevention of Corruption Act was passed in 2021, updating legislation dating back to 1929.Barbados is one of just seven countries in the Americas to have neither signed nor ratified the Inter-American Convention on Mutual Assistance in Criminal Matters. The government has signed but not ratified the UN Convention against Corruption.",3,"A Freedom of Information Act is yet to materialize. In February 2022, the Mottley administration vowed to reintroduce its Integrity in Public Life Bill, which the Senate rejected in 2020. That bill was not laid before Parliament by year’s end, however.",3
belarus,"Though Lukashenka claimed victory in the 2020 presidential elections, the legitimacy of his office is disputed both domestically and internationally. The constitution vests power in the president, stating that presidential decrees supersede legislation. Lukashenka considers himself the head of all branches of government, including the parliament, which always supports his policies and rarely initiates legislation on its own. Observers say that constitutional amendments enacted in February 2022 further entrenched Lukashenka’s power, including by guaranteeing that after leaving office, former presidents will be granted immunity from prosecution for their actions while president and given a permanent seat in the Council of the Republic.",0,"The state controls at least 70 percent of the economy, and graft is encouraged by a lack of transparency and accountability in government. There are no independent bodies to investigate corruption cases, and graft trials are typically closed. Presidential clemency has been issued occasionally to free convicted corrupt officials, some of whom Lukashenka has returned to positions of authority.Powerful oligarchs enjoy the protection of the government and adjustment of regulations and government policies in their favor, so long as they channel money to Lukashenka in a quid pro quo arrangement. Spurious bribery and tax evasion charges have been used against Lukashenka’s political opponents and human rights activists; for example, in 2021, Viktar Babaryka was sentenced to 14 years’ imprisonment on corruption charges after he announced his intentions to register as a presidential candidate.",1,"The government largely fails to adhere to legal access-to-information requirements, though authorities have moved to make some basic information about government operations available online in recent years. From August through November 2021, Lukashenka intentionally withheld information about the increased numbers of economic migrants and asylum seekers that were being allowed into the country. Journalists and human rights groups have regularly been prevented from accessing migrant camps in Belarus near the Polish border.Additionally, during 2022, the government deliberately obscured information about Belarusian involvement in the Russian invasion of Ukraine, including the stationing of Russian troops in Belarus.",0
belgium,Elected officials generally adopt and implement laws and policies without improper interference from unelected entities.,4,"Public officials can face heavy fines and up to 10 years’ imprisonment for corruption-related offenses, and enforcement of anticorruption legislation is generally adequate. However, recent corruption scandals have drawn attention to abuses involving politicians who hold multiple positions on the boards of public and private entities, with some officials holding more than a dozen paid positions. The Group of States against Corruption (GRECO), a Council of Europe (CoE) anticorruption body, has repeatedly warned about Belgium’s slow implementation of recommended anticorruption reforms. Two new laws improving whistleblower protections in line with EU requirements were passed in November and December 2022. The legislation, which provides protections in both the private and public sectors, had not yet entered into force at year’s end. Several senior officials of the Walloon parliament, including its president, resigned in December 2022 after being implicated in a scandal involving the misuse of public funds. The same month, Marc Tarabella, a PS politician and member of European Parliament, was suspended from the PS following allegations that he had accepted illicit funds from Qatar. Investigations into Tarabella’s involvement in the so-called Qatargate corruption scandal were ongoing at year’s end.",3,"The law provides mechanisms for the public to access government information, and these procedures generally function in practice. Legislators and other high-ranking elected officials are required by law to regularly disclose their assets as well as paid or unpaid mandates, executive functions, and occupations to the Court of Audit. Information about asset declarations is not publicly accessible, but declarations of interests are published in the official government gazette. In recent years, both GRECO and the European Commission have recommended that Belgium adopt stronger regulations governing interactions between lobbyists and high-level government officials, including members of parliament.",4
belize,"The elected prime minister, cabinet, and national legislative representatives are duly seated following elections and are able to freely determine the policies of the government.",4,"Belize continues to struggle with corruption, and there is little political will to address the problem. Anticorruption laws are poorly enforced. In July 2022, Moises Cal, a leading member of the PUP—who in 2007 was accused of various acts of corruption, including bribery and money laundering—was appointed chairman of the Public Service Commission (PSC). Cal withdrew his name from consideration in August, before the appointment was confirmed, due to widespread opposition to his candidacy.In November 2022, the US government accused high-ranking UDP member John Saldivar of “significant corruption,” including providing Belizean immigration documents in return for bribes and interfering in public processes for personal gain while he was a government official.",2,"The government generally engages in policymaking with openness and transparency. However, a 2020 Supreme Court ruling found that the UDP government had improperly spent $645 million, and had unconstitutionally sidelined the legislature on budgetary and finance matters. There are also persistent issues with procurement processes and officials’ financial disclosure statements. Members of Belize’s business community have alleged that favoritism influences the government’s awarding of licenses and public contracts. The Prevention of Corruption in Public Life Act, which requires elected officials to submit annual financial statements, is poorly enforced.",2
benin,"The president and the legislature generally determine government policy. However, the president and legislative representatives were not elected freely or fairly, and the lack of opposition members seriously undermines the legislature’s role as an independent branch of government.The government does not consistently implement policy throughout Benin. In many rural areas, the state struggles to deliver basic services, and citizens instead rely on local customary and religious leaders.",1,"Corruption remains widespread. Corrupt officials rarely face prosecution, contributing to a culture of impunity. In 2020, the National Anti-Corruption Authority (ANLC) was dissolved to be succeeded by the High Commission for the Prevention of Corruption (HCPC), which has the authority to refer corruption cases to court. The law establishing this office also removed aspects of public officials’ asset declaration requirements.The Court of Punishment of Economic Crimes and Terrorism (CRIET) was established in 2018 to prosecute corruption, drug trafficking, and terrorism cases, but critics claim it targets political opponents and journalists.",2,"The 2015 Information and Communication Code provides for public access to government records. However, information deemed sensitive, including national security, trade, and judicial documents, remains restricted.A law passed in 2020 repealed asset declaration provisions for presidential candidates and government officials, and a 2021 joint report by the Clingendael Institute and the Armed Conflict Location and Event Data Project (ACLED) indicates that the government is deliberately concealing increasingly violent communal conflicts in the north from the public.",2
bhutan,"Bhutan has made a successful transition from a system in which the monarch dominated governance to one in which policies and legislation are mostly determined by elected officials. Beijing has widened its effective influence over policymaking in part of Bhutan through its settlement activity in recent years, effectively obstructing Thimphu’s authority.The Indian government maintains significant influence on Bhutanese policymaking, in part by supplying considerable foreign aid.",2,"The government generally enforces anticorruption laws effectively. The 2006 Anti-Corruption Act established whistleblower protections. The Anti-Corruption Commission (ACC) is tasked with investigating and preventing graft and has successfully prosecuted several high-profile cases. The number of cases reported to the commission has grown each year, showing public interest and the ACC’s widening utility.Nepotism in public procurement and government employment remains problematic.",3,"The government has strengthened transparency by making the salaries of officials public and making the central and local budgets more open to review. A right to information law passed by the National Assembly in 2014 was designed to put the onus on agencies to release information. However, the National Council never approved the bill. ",3
bolivia,"Elected officials are free to set and implement government policy without undue interference from nonstate actors. However, opposition members charge that the MAS majority in the legislature has opened the space for strong executive influence on legislative processes, closing the possibility of debating policy at the legislative level. In September 2022, following a months-long electoral process, the MAS majority in the parliament secured the election of their preferred candidate for ombudsman after calling an impromptu vote while several opposition legislators were absent, sparking further criticism from the opposition about MAS legislators’ use of their parliamentary majority.Historically, powerful social movements have been able to exert pressure on the ALP to prevent the adoption of policies seen as detrimental to their interests. In late 2022, unionized and cooperative miners demanded that the government repeal a decree issued in August 2022, which states that the “resources” of public and majority state-owned companies would be transferred “to the General Treasury of the Nation (TGN) to finance investment projects and/or programs of social interest.” In October, following months of protests and talks with mining representatives, the government agreed to repeal certain articles of the decree.",3,"Anticorruption laws are poorly enforced, and corruption affects a range of government entities and economic sectors, including law enforcement bodies and extractive industries. Public procurement processes are frequently compromised by bribery.",2,"Bolivia has no law guaranteeing access to public information. Elected officials by law must make asset declarations, but these are unavailable to the public.",2
bosnia-and-herzegovina,"Government formation and policy implementation are seriously impeded by the country’s complex system of ethnic representation. Under the Dayton Accords, representatives from each of the three major ethnic groups, at both the state and entity levels, may exercise a veto on legislation deemed harmful to their interests. The state government is also undercut by movements within each of BiH’s entities for greater autonomy.Dodik, now the RS president, maintains expansive control over the entity, and continues to speak openly of his desire for the RS to secede from BiH. In October 2021, he announced the RS’s withdrawal from various federal institutions, notably the military, prompting fears of a secession crisis. The move came largely in response to the OHR’s July 2021 law against genocide denial and was the latest in a series of escalating efforts to chip away at the functionality of the BiH state. Dodik continued to engage in secessionist rhetoric throughout 2022, prompting additional rounds of sanctions against him and his associates by the United States and United Kingdom.",2,"Corruption remains widespread and systemic, and legislation designed to combat the problem is poorly enforced. When corruption probes are actually opened, they rarely result in convictions.",1,"Government operations remain largely inaccessible to the public. Procurement awards are often made in secret, and public institutions frequently fail to comply with freedom of information laws. Candidates for major offices are obliged to make financial disclosures, but the relevant laws are weak, and the resulting disclosures are widely considered unreliable. Debate and decisions on matters of public interest, including legislation and subjects pertaining to EU accession, routinely occur during interparty negotiations that take place behind closed doors, outside of government institutions.",1
